Week,Employee_ID,AHT,Schedule_Adherence,ACW,RONA,Evaluation_Completed,Efficiency,Compliance,Logging,Professionalism,Exceptions,Knowledge,Guidance,QS_Adoption_Score,Performance_Level,Needs_Coaching
8/5/2024,EMP013,14.07,88.54,1.401,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/12/2024,EMP013,16.94,85.56,1.489,1,TRUE,90,100,100,100,100,100,100,98.57,Exceeds,No
8/19/2024,EMP013,8.65,85.11,1.348,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/26/2024,EMP013,13.51,94.79,1.443,0,TRUE,90,100,50,90,100,95,100,89.29,Meets,Yes
9/2/2024,EMP013,13.45,91.9,1.307,1,TRUE,100,90,85,100,95,95,100,95,Exceeds,No
9/9/2024,EMP013,15.85,91.27,1.193,1,TRUE,90,100,95,95,85,90,100,93.57,Exceeds,No
9/16/2024,EMP013,12.39,90.73,1.106,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/23/2024,EMP013,9.43,90.86,1.361,0,TRUE,90,100,95,90,100,100,100,96.43,Exceeds,No
9/30/2024,EMP013,11.62,98.83,1.297,2,TRUE,95,100,100,100,100,95,95,97.86,Exceeds,No
10/7/2024,EMP013,11.85,96.47,1.413,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/14/2024,EMP013,8.03,94.37,1.378,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/21/2024,EMP013,12.06,96.43,1.495,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/28/2024,EMP013,15.28,90.44,1.304,1,TRUE,33,95,95,95,95,85,100,85.43,Meets,Yes
11/4/2024,EMP013,14.6,94.43,1.271,0,TRUE,90,90,100,85,95,95,100,93.57,Exceeds,No
11/11/2024,EMP013,17.5,94.17,1.215,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/18/2024,EMP013,19.58,86.27,1.291,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/25/2024,EMP013,17.78,90.27,1.449,0,TRUE,100,100,33,90,90,90,100,86.14,Meets,Yes
12/2/2024,EMP013,12.62,98.55,1.117,1,TRUE,95,100,85,100,90,90,85,92.14,Exceeds,No
12/9/2024,EMP013,9.81,87.16,1.491,0,TRUE,90,100,90,100,70,95,95,91.43,Exceeds,No
12/16/2024,EMP013,14.53,98.07,1.497,0,TRUE,100,100,95,100,90,100,95,97.14,Exceeds,No
12/23/2024,EMP013,15.27,89.22,1.339,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/1/2024,EMP014,14.79,90.89,1.233,2,TRUE,95,100,100,100,95,90,85,95,Exceeds,No
1/8/2024,EMP014,13.52,92.08,1.189,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/15/2024,EMP014,19.06,85.67,1.211,0,TRUE,100,95,100,100,85,100,100,97.14,Exceeds,No
1/22/2024,EMP014,13.99,96.68,1.12,1,TRUE,95,85,100,95,100,95,100,95.71,Exceeds,No
1/29/2024,EMP014,16.21,96.98,1.29,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/5/2024,EMP014,13.16,90.07,1.123,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/12/2024,EMP014,18.18,88.51,1.387,0,TRUE,85,100,95,90,90,100,90,92.86,Exceeds,No
2/19/2024,EMP014,17.97,88.54,1.249,0,TRUE,85,95,100,90,95,100,85,92.86,Exceeds,No
2/26/2024,EMP014,13.67,92.92,1.18,2,TRUE,95,95,100,100,95,95,100,97.14,Exceeds,No
3/4/2024,EMP014,17.13,98.63,1.318,0,TRUE,90,95,100,100,100,100,95,97.14,Exceeds,No
3/11/2024,EMP014,17.33,98.95,0.487,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/18/2024,EMP014,16.06,91.47,1.378,2,TRUE,95,95,100,100,85,100,100,96.43,Exceeds,No
3/25/2024,EMP014,16.41,86.69,1.297,0,TRUE,95,85,100,100,95,90,90,93.57,Exceeds,No
4/1/2024,EMP014,16.17,98.41,1.411,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/8/2024,EMP014,11.74,86.56,1.395,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/15/2024,EMP014,17.03,90.32,1.457,1,TRUE,90,95,100,95,100,100,95,96.43,Exceeds,No
4/22/2024,EMP014,15.23,89.46,1.182,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/29/2024,EMP014,14.95,89.53,1.444,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/6/2024,EMP014,18.74,87.97,1.22,1,TRUE,95,100,95,100,85,95,85,93.57,Exceeds,No
5/13/2024,EMP014,7.07,94.13,1.476,2,TRUE,90,100,90,95,95,100,50,88.57,Meets,Yes
5/20/2024,EMP014,13.26,91.28,1.212,2,TRUE,95,95,90,90,90,95,95,92.86,Exceeds,No
5/27/2024,EMP014,12.09,89.5,1.471,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/3/2024,EMP014,11.32,97.36,1.486,1,TRUE,95,100,90,95,95,100,100,96.43,Exceeds,No
6/10/2024,EMP014,13.48,97.9,1.158,2,TRUE,90,100,90,95,95,95,100,95,Exceeds,No
6/17/2024,EMP014,19.9,85.53,1.49,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/24/2024,EMP014,13.43,95.29,1.134,2,TRUE,95,95,85,100,100,100,100,96.43,Exceeds,No
7/1/2024,EMP014,16.97,90.73,1.187,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/8/2024,EMP014,12.06,85.51,0.228,0,TRUE,95,85,100,90,85,85,95,90.71,Exceeds,No
7/15/2024,EMP014,8.81,96.62,1.497,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/22/2024,EMP014,19.86,90.23,1.295,2,TRUE,95,90,100,85,95,100,95,94.29,Exceeds,No
7/29/2024,EMP014,7.88,89.03,1.32,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/5/2024,EMP014,9.54,87.65,1.378,1,TRUE,95,95,100,95,33,95,100,87.57,Meets,Yes
8/12/2024,EMP014,9.99,90.99,1.487,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/19/2024,EMP014,8.77,88.67,1.413,2,TRUE,85,95,100,95,100,95,95,95,Exceeds,No
8/26/2024,EMP014,13.78,86.85,1.19,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/2/2024,EMP014,17.06,95.48,1.221,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/9/2024,EMP014,18.6,87.69,0.058,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/16/2024,EMP014,12.54,99.3,1.358,2,TRUE,100,90,95,90,90,95,85,92.14,Exceeds,No
9/23/2024,EMP014,15.07,99.07,1.172,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/30/2024,EMP014,7.96,97.4,1.203,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/7/2024,EMP014,13.55,95.59,1.455,0,TRUE,100,90,95,100,100,100,95,97.14,Exceeds,No
10/14/2024,EMP014,18.75,99.43,1.231,2,TRUE,100,100,90,100,90,95,95,95.71,Exceeds,No
10/21/2024,EMP014,8.26,99.73,1.327,1,TRUE,100,95,90,90,100,100,100,96.43,Exceeds,No
10/28/2024,EMP014,14.05,97.79,1.259,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/4/2024,EMP014,16.43,90.85,1.13,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/11/2024,EMP014,7.66,90.42,1.245,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/18/2024,EMP014,13.07,96.23,1.263,0,TRUE,100,90,95,100,100,95,100,97.14,Exceeds,No
11/25/2024,EMP014,8.56,95.33,1.458,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/2/2024,EMP014,14.68,91.2,1.23,2,TRUE,100,95,100,90,90,100,85,94.29,Exceeds,No
12/9/2024,EMP014,13.65,85.96,1.252,2,TRUE,90,95,95,95,50,95,100,88.57,Meets,Yes
12/16/2024,EMP014,11.49,96.02,1.413,2,TRUE,100,100,100,90,90,100,100,97.14,Exceeds,No
12/23/2024,EMP014,15.69,96.85,1.404,1,TRUE,100,90,90,100,85,100,100,95,Exceeds,No
1/1/2024,EMP015,18.35,92.98,1.419,0,TRUE,90,85,95,95,100,100,100,95,Exceeds,No
1/8/2024,EMP015,18.66,89.37,1.482,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/15/2024,EMP015,13.12,91.96,1.418,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/22/2024,EMP015,8.8,99.89,1.263,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/29/2024,EMP015,18.7,85.26,1.429,0,TRUE,100,100,95,90,100,90,90,95,Exceeds,No
2/5/2024,EMP015,14.68,97.2,1.303,0,TRUE,95,85,95,33,100,90,100,85.43,Meets,Yes
2/12/2024,EMP015,19.39,86.46,1.211,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/19/2024,EMP015,19.13,95.11,1.221,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/26/2024,EMP015,12.87,90.82,1.19,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/4/2024,EMP015,13.33,86.69,1.158,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/11/2024,EMP015,12.62,96.95,1.174,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/18/2024,EMP015,12.76,94.75,1.125,1,TRUE,90,85,95,95,33,100,100,85.43,Meets,Yes
3/25/2024,EMP015,19.17,85.19,1.455,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/1/2024,EMP015,19.38,99.74,1.472,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/8/2024,EMP015,11.47,91.7,1.335,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/15/2024,EMP015,16.34,85.34,1.436,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/22/2024,EMP015,16.08,98.89,1.173,0,TRUE,95,100,95,90,100,85,100,95,Exceeds,No
4/29/2024,EMP015,14.51,89.53,1.461,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/6/2024,EMP015,16.69,90.55,1.303,1,TRUE,100,100,85,100,100,85,85,93.57,Exceeds,No
5/13/2024,EMP015,19.53,89.72,1.127,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/20/2024,EMP015,12.53,96.25,1.157,2,TRUE,100,100,95,95,95,100,100,97.86,Exceeds,No
5/27/2024,EMP015,21.81,92.6,1.224,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/3/2024,EMP015,11.3,89.67,1.117,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/10/2024,EMP015,14.27,89.04,1.224,0,TRUE,95,100,90,85,100,100,95,95,Exceeds,No
6/17/2024,EMP015,8.01,97.38,1.124,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/24/2024,EMP015,14.88,96.25,1.194,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/1/2024,EMP015,15.53,98.08,1.206,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/8/2024,EMP015,9.27,85.05,1.498,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/15/2024,EMP015,14.53,99.18,1.194,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/22/2024,EMP015,24.96,85.38,1.196,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/29/2024,EMP015,18.44,88.57,1.375,0,TRUE,100,95,85,90,100,95,85,92.86,Exceeds,No
8/5/2024,EMP015,9.55,91.85,1.444,1,TRUE,90,90,95,90,95,90,100,92.86,Exceeds,No
8/12/2024,EMP015,13.09,96.02,1.255,1,TRUE,100,90,100,100,100,95,100,97.86,Exceeds,No
8/19/2024,EMP015,7.94,90.31,1.45,1,TRUE,90,90,100,85,100,95,90,92.86,Exceeds,No
8/26/2024,EMP015,9.48,87.05,1.236,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/2/2024,EMP015,11.71,87.44,1.179,0,TRUE,95,85,100,100,100,100,95,96.43,Exceeds,No
9/9/2024,EMP015,7.98,91.16,1.232,0,TRUE,95,85,85,100,85,50,100,85.71,Meets,Yes
9/16/2024,EMP015,15.04,98.02,1.344,0,TRUE,100,100,95,95,100,95,100,97.86,Exceeds,No
9/23/2024,EMP015,12.68,88.99,1.247,2,TRUE,95,95,100,100,85,100,95,95.71,Exceeds,No
9/30/2024,EMP015,12.62,88.69,1.369,1,TRUE,90,85,85,85,100,100,85,90,Meets,Yes
10/7/2024,EMP015,26.37,90.6,1.195,2,TRUE,95,100,90,100,100,100,95,97.14,Exceeds,No
10/14/2024,EMP015,9.26,99.34,1.38,0,TRUE,100,95,100,100,100,100,100,99.29,Exceeds,No
10/21/2024,EMP015,9.52,96.22,1.239,1,TRUE,90,95,95,95,100,95,90,94.29,Exceeds,No
10/28/2024,EMP015,34.69,91.16,1.282,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/4/2024,EMP015,11.67,91.1,1.323,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/11/2024,EMP015,12.95,91.82,1.374,0,TRUE,100,100,100,85,85,85,90,92.14,Exceeds,No
11/18/2024,EMP015,17.81,99.09,1.195,0,TRUE,100,85,100,90,100,95,95,95,Exceeds,No
11/25/2024,EMP015,15.87,88.3,1.434,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/2/2024,EMP015,13.95,92.5,1.389,2,TRUE,100,90,90,100,100,100,95,96.43,Exceeds,No
12/9/2024,EMP015,12.85,86.92,1.194,0,TRUE,95,100,95,95,100,85,90,94.29,Exceeds,No
12/16/2024,EMP015,13.52,87.46,1.49,0,TRUE,100,90,95,90,90,85,100,92.86,Exceeds,No
12/23/2024,EMP015,14.86,90.76,1.366,1,TRUE,95,95,100,85,100,100,33,86.86,Meets,Yes
1/1/2024,EMP016,12.59,88.69,1.281,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/8/2024,EMP016,19.68,97.57,1.163,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/15/2024,EMP016,7.32,88.37,1.313,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/22/2024,EMP016,9.96,87.54,1.166,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/29/2024,EMP016,18.58,90.14,1.272,2,TRUE,95,100,90,100,95,100,95,96.43,Exceeds,No
2/5/2024,EMP016,8.27,90.67,1.263,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/12/2024,EMP016,17.66,86.23,1.388,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/19/2024,EMP016,17.04,93.14,1.177,2,TRUE,100,90,90,100,90,100,90,94.29,Exceeds,No
2/26/2024,EMP016,7.64,85.59,1.429,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/4/2024,EMP016,8.02,94.71,1.23,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/11/2024,EMP016,15.62,99.8,1.278,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/18/2024,EMP016,16.74,89.75,1.409,0,TRUE,100,90,95,100,95,85,100,95,Exceeds,No
3/25/2024,EMP016,15.89,90.07,1.35,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/1/2024,EMP016,8.42,98.3,1.223,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/8/2024,EMP016,14.99,94.18,1.254,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/15/2024,EMP016,27.47,90.54,1.222,2,TRUE,100,95,90,33,90,100,100,86.86,Meets,Yes
4/22/2024,EMP016,8.3,86.04,1.338,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/29/2024,EMP016,15.87,88.22,1.233,1,TRUE,95,90,95,90,90,95,95,92.86,Exceeds,No
5/6/2024,EMP016,18.99,94.34,1.39,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/13/2024,EMP016,16.7,88.61,1.332,1,TRUE,70,95,95,100,90,95,95,91.43,Exceeds,No
5/20/2024,EMP016,17.5,93.18,1.158,2,TRUE,100,100,100,95,95,100,90,97.14,Exceeds,No
5/27/2024,EMP016,16.38,91.59,1.224,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/3/2024,EMP016,16.79,99.42,1.189,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/10/2024,EMP016,16.21,89.74,1.256,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/17/2024,EMP016,11.24,94.92,1.306,0,TRUE,95,100,100,100,95,95,95,97.14,Exceeds,No
6/24/2024,EMP016,34.99,94.2,1.303,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/1/2024,EMP016,11.3,93.19,1.402,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/8/2024,EMP016,14.56,99.88,1.176,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/15/2024,EMP016,11.95,86.37,1.479,0,TRUE,100,100,95,95,95,100,100,97.86,Exceeds,No
7/22/2024,EMP016,7.29,87.33,1.237,0,TRUE,85,100,100,85,90,100,90,92.86,Exceeds,No
7/29/2024,EMP016,9.38,93.01,1.22,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/5/2024,EMP016,8.28,85,1.374,2,TRUE,95,100,70,100,90,90,100,92.14,Exceeds,No
8/12/2024,EMP016,18.21,96.07,1.422,0,TRUE,85,100,100,100,100,100,100,97.86,Exceeds,No
8/19/2024,EMP016,7.82,87.32,1.251,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/26/2024,EMP016,7.77,87.47,1.399,1,TRUE,95,90,95,100,95,95,100,95.71,Exceeds,No
9/2/2024,EMP016,13.26,97.44,1.453,1,TRUE,90,85,100,100,90,95,85,92.14,Exceeds,No
9/9/2024,EMP016,8.85,91.99,1.407,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/16/2024,EMP016,18.33,94.38,1.114,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/23/2024,EMP016,15.07,99.74,1.431,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/30/2024,EMP016,8.14,94.12,1.41,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/7/2024,EMP016,19.76,85.87,1.368,1,TRUE,85,100,85,90,95,100,85,91.43,Exceeds,No
10/14/2024,EMP016,12.05,88.22,1.404,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/21/2024,EMP016,15.38,87.82,1.492,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/28/2024,EMP016,26.13,92.02,1.272,1,TRUE,95,100,90,90,85,100,95,93.57,Exceeds,No
11/4/2024,EMP016,7.29,88.86,1.127,1,TRUE,100,90,100,100,95,95,90,95.71,Exceeds,No
11/11/2024,EMP016,13.41,93.58,1.284,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/18/2024,EMP016,11.26,88.82,0.033,0,TRUE,90,95,85,95,95,95,95,92.86,Exceeds,No
11/25/2024,EMP016,18.89,87.25,1.218,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/2/2024,EMP016,16.47,87.13,0.298,0,TRUE,95,100,100,85,95,100,100,96.43,Exceeds,No
12/9/2024,EMP016,9.45,89.4,1.224,2,TRUE,95,100,95,100,95,90,95,95.71,Exceeds,No
12/16/2024,EMP016,15.69,90.42,1.374,2,TRUE,100,95,95,100,100,100,100,98.57,Exceeds,No
12/23/2024,EMP016,16.4,87.14,1.429,1,TRUE,100,100,90,95,85,95,100,95,Exceeds,No
1/1/2024,EMP017,17.31,95.73,1.268,1,TRUE,90,100,95,90,95,90,50,87.14,Meets,Yes
1/8/2024,EMP017,9.72,94.3,1.46,0,TRUE,100,100,85,100,85,100,95,95,Exceeds,No
1/15/2024,EMP017,11.83,88.24,1.132,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/22/2024,EMP017,13.98,98.37,1.436,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/29/2024,EMP017,9.13,92.52,1.431,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/5/2024,EMP017,19.63,87.55,1.229,1,TRUE,90,90,90,95,90,100,85,91.43,Exceeds,No
2/12/2024,EMP017,19.83,92.76,1.219,2,TRUE,100,95,100,100,90,90,95,95.71,Exceeds,No
2/19/2024,EMP017,8.91,96.23,0.159,0,TRUE,100,100,85,95,100,95,100,96.43,Exceeds,No
2/26/2024,EMP017,12.74,90.92,1.425,0,TRUE,95,95,100,85,100,100,95,95.71,Exceeds,No
3/4/2024,EMP017,12.07,95.2,1.433,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/11/2024,EMP017,19.51,96.78,1.232,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/18/2024,EMP017,14.91,92.46,1.337,2,TRUE,100,70,100,95,100,100,95,94.29,Exceeds,No
3/25/2024,EMP017,12.75,90.93,1.156,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/1/2024,EMP017,9.8,86.26,1.288,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/8/2024,EMP017,7.31,88.66,1.5,1,TRUE,100,100,95,95,85,95,95,95,Exceeds,No
4/15/2024,EMP017,17.57,93.17,1.164,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/22/2024,EMP017,16.63,89.75,1.479,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/29/2024,EMP017,11.79,96.74,1.43,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/6/2024,EMP017,14.05,92.22,1.489,1,TRUE,100,95,90,100,90,95,100,95.71,Exceeds,No
5/13/2024,EMP017,7.45,97.77,1.172,2,TRUE,95,100,100,100,85,95,90,95,Exceeds,No
5/20/2024,EMP017,16.44,86.14,1.185,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/27/2024,EMP017,15.29,96.12,1.107,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/3/2024,EMP017,11.04,98.74,1.39,1,TRUE,95,90,85,95,95,95,95,92.86,Exceeds,No
6/10/2024,EMP017,9.93,89.46,1.358,2,TRUE,100,85,95,100,95,90,90,93.57,Exceeds,No
6/17/2024,EMP017,14.15,90.61,1.171,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/24/2024,EMP017,13.32,96.03,1.416,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/1/2024,EMP017,13,85.79,1.22,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/8/2024,EMP017,12.43,97.89,1.154,0,TRUE,85,100,100,90,100,95,85,93.57,Exceeds,No
7/15/2024,EMP017,19.99,93.18,1.269,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/22/2024,EMP017,7.89,92.75,1.136,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/29/2024,EMP017,14.65,98.64,1.205,0,TRUE,85,95,95,90,100,85,95,92.14,Exceeds,No
8/5/2024,EMP017,18.84,97.64,1.249,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/12/2024,EMP017,16.78,87.74,1.441,2,TRUE,95,95,100,90,100,100,100,97.14,Exceeds,No
8/19/2024,EMP017,25.53,87.9,1.417,2,TRUE,85,33,100,100,100,100,100,88.29,Meets,Yes
8/26/2024,EMP017,19.08,88.64,1.277,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/2/2024,EMP017,17.75,96.23,1.39,1,TRUE,90,100,85,85,100,90,100,92.86,Exceeds,No
9/9/2024,EMP017,13.05,90.31,1.327,2,TRUE,100,90,100,95,85,90,100,94.29,Exceeds,No
9/16/2024,EMP017,16.79,96.82,1.236,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/23/2024,EMP017,19.3,90.53,1.39,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/30/2024,EMP017,15.47,86.37,1.373,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/7/2024,EMP017,17.6,91,1.348,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/14/2024,EMP017,9.91,87.68,1.347,1,TRUE,95,100,100,100,95,95,100,97.86,Exceeds,No
10/21/2024,EMP017,17.21,94.02,1.373,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/28/2024,EMP017,11.92,97.86,1.254,0,TRUE,85,95,95,100,90,85,100,92.86,Exceeds,No
11/4/2024,EMP017,13.2,86.13,1.448,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/11/2024,EMP017,8.79,93.99,1.165,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/18/2024,EMP017,13.48,86.15,1.454,0,TRUE,95,33,100,90,100,85,100,86.14,Meets,Yes
11/25/2024,EMP017,19.62,95.5,1.237,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/2/2024,EMP017,14.65,98.24,1.15,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/9/2024,EMP017,15.12,99.26,1.34,0,TRUE,100,95,90,90,95,100,90,94.29,Exceeds,No
12/16/2024,EMP017,17.31,95.23,0.194,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/23/2024,EMP017,15.72,90.59,1.426,2,TRUE,95,100,100,85,90,95,100,95,Exceeds,No
1/1/2024,EMP018,14.44,89.98,1.272,1,TRUE,95,100,100,95,95,100,100,97.86,Exceeds,No
1/8/2024,EMP018,11.69,97.26,1.367,2,TRUE,100,95,85,100,90,100,90,94.29,Exceeds,No
1/15/2024,EMP018,28.95,88.06,1.223,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/22/2024,EMP018,18.81,86.19,1.184,2,TRUE,95,100,100,95,95,95,90,95.71,Exceeds,No
1/29/2024,EMP018,17.17,86.6,1.255,0,TRUE,95,95,100,70,100,85,100,92.14,Exceeds,No
2/5/2024,EMP018,8.14,98.48,1.343,1,TRUE,100,100,100,100,95,95,100,98.57,Exceeds,No
2/12/2024,EMP018,12.15,88.21,1.363,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/19/2024,EMP018,32.25,88.03,1.331,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/26/2024,EMP018,19.48,85.37,0.494,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/4/2024,EMP018,8.16,96.53,1.376,0,TRUE,90,100,95,100,100,90,85,94.29,Exceeds,No
3/11/2024,EMP018,17.56,89.36,1.473,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/18/2024,EMP018,14.7,97.48,1.147,0,TRUE,100,100,100,100,95,100,85,97.14,Exceeds,No
3/25/2024,EMP018,15.52,86.77,1.125,0,TRUE,95,95,100,85,100,100,90,95,Exceeds,No
4/1/2024,EMP018,18.53,86.52,1.224,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/8/2024,EMP018,11.75,99.71,1.155,0,TRUE,100,100,95,100,95,100,95,97.86,Exceeds,No
4/15/2024,EMP018,15.77,92.64,1.31,0,TRUE,90,100,95,95,85,95,100,94.29,Exceeds,No
4/22/2024,EMP018,12.93,89.03,1.308,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/29/2024,EMP018,14.06,93.41,1.33,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/6/2024,EMP018,16.8,95.03,1.398,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
